+LOGIN_ID-SSN,1117122
+LOGIN_ID,1038875
+NAME,904839
+LOGIN_ID-GENDER-SSN,586804
+LOGIN_ID-GENDER,517127
+LOGIN_ID-DOB-SSN,486402
+LOGIN_ID-DOB,391826
+ADDRESS-SSN,354533
+ADDRESS,337211
+LOGIN_ID-SSN-PASSPORT,283356
+LOGIN_ID-DOB-GENDER-SSN,276826
+LOGIN_ID-PASSPORT,228416
+LOGIN_ID-DOB-GENDER,204600
+ADDRESS-GENDER-SSN,188525
+ADDRESS-GENDER,164353
+LOGIN_ID-GENDER-SSN-PASSPORT,161163
+ADDRESS-DOB-SSN,160897
+LOGIN_ID-DOB-SSN-PASSPORT,158023
+ADDRESS-DOB,126037
+LOGIN_ID-SSN-DRLIC,121946
+LOGIN_ID-GENDER-PASSPORT,118849
+LOGIN_ID-DRLIC,103482
+LOGIN_ID-DOB-GENDER-SSN-PASSPORT,102417
+LOGIN_ID-DOB-PASSPORT,98096
+ADDRESS-DOB-GENDER-SSN,93361
+ADDRESS-SSN-PASSPORT,93057
+DRLIC-SSN,79661
+DRLIC,77133
+ADDRESS-PASSPORT,72468
+LOGIN_ID-GENDER-SSN-DRLIC,66730
+ADDRESS-DOB-GENDER,66540
+LOGIN_ID-DOB-SSN-DRLIC,60502
+SSN,59510
+ADDRESS-DOB-SSN-PASSPORT,56197
+LOGIN_ID-DOB-GENDER-PASSPORT,54527
+ADDRESS-GENDER-SSN-PASSPORT,53947
+LOGIN_ID-GENDER-DRLIC,52594
+PNAME+ADDRESS+PHONE,44394
+NAME+DOB-SSN,44347
+NAME+DOB,43274
+DRLIC-GENDER-SSN,42700
+LOGIN_ID-DOB-DRLIC,42009
+ADDRESS-SSN-DRLIC,39137
+ADDRESS-GENDER-PASSPORT,38662
+ADDRESS-DOB-GENDER-SSN-PASSPORT,37105
+LOGIN_ID-DOB-GENDER-SSN-DRLIC,37075
+DRLIC-GENDER,36887
+DRLIC-DOB-SSN,35936
+LOGIN_ID-SSN-DRLIC-PASSPORT,35409
+ADDRESS-DOB-PASSPORT,32586
+ADDRESS-DRLIC,32491
+PNAME+PHONE,32050
+DRLIC-DOB,28550
+ADDRESS+PHONE+SSN,26450
+LOGIN_ID-DRLIC-PASSPORT,24593
+ADDRESS+PHONE,24413
+SSN-GENDER,24307
+LOGIN_ID-DOB-SSN-DRLIC-PASSPORT,24234
+PHONE+SSN,23460
+PHONE,23364
+LOGIN_ID-DOB-GENDER-DRLIC,22784
+ADDRESS-GENDER-SSN-DRLIC,21915
+PNAME+ADDRESS,21434
+DRLIC-DOB-GENDER-SSN,21417
+LOGIN_ID-GENDER-SSN-DRLIC-PASSPORT,21395
+DRLIC-SSN-PASSPORT,21158
+ADDRESS-DOB-SSN-DRLIC,20605
+SSN-DOB,19471
+ADDRESS-DOB-GENDER-PASSPORT,18499
+ADDRESS-GENDER-DRLIC,17110
+LOGIN_ID-DOB-GENDER-SSN-DRLIC-PASSPORT,16992
+DRLIC-PASSPORT,16324
+DRLIC-DOB-GENDER,14996
+ADDRESS+SSN,14330
+ADDRESS-DOB-DRLIC,13779
+PNAME+ACCT_NUM,13490
+LOGIN_ID-GENDER-DRLIC-PASSPORT,13349
+ADDRESS-DOB-GENDER-SSN-DRLIC,13294
+DRLIC-DOB-SSN-PASSPORT,12685
+NAME+DOB-SSN-PASSPORT,12456
+DRLIC-GENDER-SSN-PASSPORT,12319
+PHONE+ACCT_NUM,12059
+ADDRESS+PHONE+SSN+ACCT_NUM,12046
+ADDRESS+PHONE+ACCT_NUM,12018
-SSN,12001
+PNAME+DOB+PHONE,11986
+ADDRESS-SSN-DRLIC-PASSPORT,11908
+LOGIN_ID-DOB-DRLIC-PASSPORT,11796
+SSN-PASSPORT,11529
+PHONE+SSN+ACCT_NUM,11293
+SSN-DOB-GENDER,10936
+NAME+DOB-GENDER-SSN,10904
+NAME+DOB-GENDER,10825
+NAME+DOB-PASSPORT,9134
+ADDRESS-DOB-SSN-DRLIC-PASSPORT,9036
+SURNAME+ADDRESS+PHONE+SSN,8724
+DRLIC-GENDER-PASSPORT,8700
+DOB+ADDRESS+PHONE,8693
+PNAME+DRLIC,8569
+DRLIC-DOB-GENDER-SSN-PASSPORT,8448
+NAME+DRLIC,8300
+ADDRESS+PHONE+SSN+DRLIC,8084
+ADDRESS-DRLIC-PASSPORT,8064
+ADDRESS+PHONE+DRLIC,7980
+SURNAME+PHONE+SSN,7856
+ACCT_NUM,7814
+SURNAME+ADDRESS+PHONE,7778
+ADDRESS-GENDER-SSN-DRLIC-PASSPORT,7716
+PNAME+LOGIN_ID,7712
+ADDRESS-DOB-GENDER-DRLIC,7628
+PHONE+DRLIC,7588
-GENDER-SSN,7543
+PHONE+SSN+DRLIC,7490
-DOB-SSN,7445
+PNAME+DOB+ADDRESS,7432
+DRLIC-DOB-PASSPORT,7378
+ADDRESS+ACCT_NUM,7203
+LOGIN_ID-DOB-GENDER-DRLIC-PASSPORT,7188
+SSN+ACCT_NUM,6826
,6606
+ADDRESS+SSN+ACCT_NUM,6599
+ADDRESS-DOB-GENDER-SSN-DRLIC-PASSPORT,6408
+SSN-GENDER-PASSPORT,6379
+DOB+PHONE+SSN,6308
+PHONE-SSN,6199
+SURNAME+PHONE,6195
+DOB+PHONE,6179
+PNAME+PHONE+DRLIC,6117
+ADDRESS+PHONE+SSN+PASSPORT,6042
+SSN-DOB-PASSPORT,6009
+PNAME+ADDRESS+PHONE+DRLIC,5794
+DOB+ADDRESS+PHONE+SSN,5790
+ADDRESS+PHONE+PASSPORT,5587
+DOB+SSN,5464
+PHONE+SSN+PASSPORT,5460
+PNAME+LOGIN_ID-SSN,5278
+PHONE+PASSPORT,5131
+PNAME+DOB+ADDRESS+PHONE,5000
+SSN-DRLIC,4978
+NAME+DOB-SSN-DRLIC,4944
+PNAME+PASSPORT,4909
-DOB-GENDER-SSN,4698
+DOB+ADDRESS+PHONE+ACCT_NUM,4654
+ADDRESS+DRLIC,4587
+SURNAME+ADDRESS+SSN,4514
-SSN-PASSPORT,4494
+ADDRESS-GENDER-DRLIC-PASSPORT,4440
+SSN+DRLIC,4406
+DOB+PHONE+ACCT_NUM,4401
+ADDRESS+SSN+DRLIC,4286
-GENDER,4237
+DRLIC-DOB-GENDER-PASSPORT,4198
-DOB,4176
+SURNAME+SSN,4172
+ADDRESS-DOB-DRLIC-PASSPORT,4109
+DOB+ADDRESS+SSN,4089
+SURNAME+ADDRESS,4083
+SURNAME+ADDRESS+PHONE+SSN+ACCT_NUM,4072
+NAME+DOB-DRLIC,4055
+DOB+ADDRESS,4051
+SURNAME+ADDRESS+PHONE+ACCT_NUM,4024
+ADDRESS+PHONE+SSN+DRLIC+ACCT_NUM,3917
+PNAME+ADDRESS+DRLIC,3741
+SSN-DOB-GENDER-PASSPORT,3667
+SURNAME+PHONE+SSN+ACCT_NUM,3604
+SURNAME+PHONE+ACCT_NUM,3588
+PNAME+DRLIC+ACCT_NUM,3454
+ADDRESS+PHONE+DRLIC+ACCT_NUM,3326
+PHONE+DRLIC+ACCT_NUM,3226
+ADDRESS+SSN+PASSPORT,3222
+PHONE-GENDER-SSN,3206
+DOB+ADDRESS+PHONE+DRLIC,3181
+ADDRESS+PASSPORT,3161
+PHONE+SSN+DRLIC+ACCT_NUM,3094
+SURNAME+DOB+ADDRESS+PHONE,3090
+SSN+PASSPORT,3008
+ADDRESS+PHONE+SSN+PASSPORT+ACCT_NUM,2928
-GENDER-SSN-PASSPORT,2907
-DOB-SSN-PASSPORT,2897
+NAME+PASSPORT,2861
+PHONE-GENDER,2852
+DOB+ADDRESS+PHONE+SSN+ACCT_NUM,2819
+DOB+PHONE+DRLIC,2816
+PASSPORT,2814
+SURNAME+ADDRESS+PHONE+SSN+DRLIC,2813
+PHONE-DOB-SSN,2805
+PHONE+LOGIN_ID,2792
+DOB+PHONE+SSN+ACCT_NUM,2782
+NAME+DOB-GENDER-SSN-PASSPORT,2713
+ADDRESS+PHONE+LOGIN_ID,2704
+ADDRESS+PHONE+SSN+LOGIN_ID,2687
+DOB+ACCT_NUM,2685
+PNAME+LOGIN_ID-DOB-SSN,2669
+SSN-GENDER-DRLIC,2651
-DOB-GENDER,2621
+SURNAME+ADDRESS+PHONE+DRLIC,2605
+ADDRESS+PHONE+PASSPORT+ACCT_NUM,2592
+PNAME+PASSPORT+ACCT_NUM,2585
+ADDRESS-DOB-GENDER-DRLIC-PASSPORT,2528
+DOB+ADDRESS+ACCT_NUM,2505
-PASSPORT,2490
+PHONE+SSN+LOGIN_ID,2458
+SURNAME+PHONE+DRLIC,2450
+PNAME+SSN,2405
+SURNAME+ACCT_NUM,2385
+SURNAME+PHONE+SSN+DRLIC,2385
+DOB+SSN+ACCT_NUM,2382
+SSN-DOB-DRLIC,2380
+PHONE+PASSPORT+ACCT_NUM,2375
+PHONE+SSN+PASSPORT+ACCT_NUM,2351
+PNAME+PHONE+PASSPORT,2338
+NAME+DOB-GENDER-PASSPORT,2305
+SURNAME+ADDRESS+ACCT_NUM,2216
+SURNAME+DOB+PHONE,2204
+DOB+ADDRESS+PHONE+PASSPORT,2199
+PHONE-DOB,2157
+SURNAME+SSN+ACCT_NUM,2130
+SURNAME+ADDRESS+SSN+ACCT_NUM,2103
+SURNAME+ADDRESS+PHONE+SSN+PASSPORT,2085
+ADDRESS+PHONE+SSN+DRLIC+PASSPORT,2033
+SURNAME+DOB+PHONE+SSN,2012
+SURNAME+DOB+ADDRESS+PHONE+SSN,1977
+DRLIC+ACCT_NUM,1921
+SURNAME+ADDRESS+PHONE+PASSPORT,1909
-DOB-GENDER-SSN-PASSPORT,1909
+ADDRESS+SSN+DRLIC+ACCT_NUM,1899
+DOB+PHONE+PASSPORT,1844
+PNAME+LOGIN_ID-DOB,1832
-SSN-DRLIC,1821
+ADDRESS+DRLIC+ACCT_NUM,1809
+SURNAME+PHONE+SSN+PASSPORT,1802
+DOB+ADDRESS+SSN+ACCT_NUM,1783
+PNAME+DRLIC+PASSPORT,1754
+ADDRESS+PHONE+DRLIC+PASSPORT,1727
+PNAME+ADDRESS-SSN,1706
+DOB+ADDRESS+DRLIC,1694
+SSN+DRLIC+ACCT_NUM,1684
+NAME+DOB-SSN-DRLIC-PASSPORT,1683
+SURNAME+DOB+SSN,1678
+DOB+DRLIC,1678
+SURNAME+DOB+ADDRESS+PHONE+ACCT_NUM,1651
+DOB+SSN+DRLIC,1628
+SURNAME+PHONE+PASSPORT,1617
+PHONE+DRLIC+PASSPORT,1615
+ADDRESS+LOGIN_ID,1596
+SURNAME+LOGIN_ID,1593
+DOB+PHONE+SSN+DRLIC,1581
+PHONE-SSN-PASSPORT,1577
-DOB-PASSPORT,1574
+SSN+LOGIN_ID,1544
+PHONE-DOB-GENDER-SSN,1540
+SURNAME+DRLIC,1527
+PNAME+ADDRESS+PASSPORT,1525
+PNAME+LOGIN_ID-SSN-PASSPORT,1515
+DOB+ADDRESS+PHONE+DRLIC+ACCT_NUM,1505
-GENDER-PASSPORT,1501
+PHONE+SSN+DRLIC+PASSPORT,1490
+ADDRESS+SSN+LOGIN_ID,1470
+PASSPORT+ACCT_NUM,1458
+SURNAME+SSN+DRLIC,1454
+SURNAME+ADDRESS+DRLIC,1440
+SURNAME+DOB+PHONE+ACCT_NUM,1434
+SURNAME+DOB+ADDRESS,1423
+SURNAME+ADDRESS+PHONE+SSN+DRLIC+ACCT_NUM,1417
+SURNAME+ADDRESS+SSN+DRLIC,1393
+SURNAME+DOB+ADDRESS+SSN,1375
+SSN-DRLIC-PASSPORT,1374
