,21146415
+NAME+ADDRESS+PHONE+SSN,144267
+NAME+ADDRESS+PHONE,130380
+NAME+PHONE+SSN,127044
+NAME+PHONE,105260
+NAME+ADDRESS+SSN,77206
+NAME+SSN,66786
+NAME+ADDRESS+PHONE+SSN+ACCT_NUM,63499
+NAME+ADDRESS,63113
+NAME+ADDRESS+PHONE+ACCT_NUM,62838
+NAME+DOB+ADDRESS+PHONE+SSN,60560
+PNAME+ADDRESS+PHONE+SSN,57275
+NAME+PHONE+SSN+ACCT_NUM,57135
+NAME+PHONE+ACCT_NUM,56931
+NAME+DOB+ADDRESS+PHONE,53016
+NAME+DOB+PHONE+SSN,51805
+PNAME+PHONE+SSN,49645
+NAME+ADDRESS+PHONE+SSN+DRLIC,43241
+NAME+ADDRESS+PHONE+DRLIC,41849
+NAME+DOB+PHONE,40610
+NAME+PHONE+SSN+DRLIC,38583
+NAME+PHONE+DRLIC,37378
+NAME+ADDRESS+SSN+ACCT_NUM,34754
+NAME+ADDRESS+ACCT_NUM,34512
+NAME+ACCT_NUM,33612
+NAME+ADDRESS+PHONE+SSN+PASSPORT,32811
+NAME+SSN+ACCT_NUM,32517
+NAME+DOB+ADDRESS+SSN,31371
+NAME+ADDRESS+PHONE+PASSPORT,31045
+PNAME+ADDRESS+SSN,30314
+NAME+PHONE+SSN+PASSPORT,28979
+NAME+DOB+SSN,28214
+NAME+PHONE+PASSPORT,26951
+NAME+DOB+ADDRESS+PHONE+ACCT_NUM,26308
+NAME+DOB+ADDRESS+PHONE+SSN+ACCT_NUM,25957
+PNAME+ADDRESS+PHONE+SSN+ACCT_NUM,25583
+PNAME+ADDRESS+PHONE+ACCT_NUM,25362
+NAME+DOB+ADDRESS,25126
+PNAME+PHONE+ACCT_NUM,25021
+PNAME+PHONE+SSN+ACCT_NUM,23971
+NAME+ADDRESS+SSN+DRLIC,23459
+PNAME+DOB+ADDRESS+PHONE+SSN,23301
+NAME+DOB+PHONE+ACCT_NUM,23125
+NAME+DOB+PHONE+SSN+ACCT_NUM,22559
+NAME+ADDRESS+DRLIC,22520
+PNAME+SSN,22406
+NAME+SSN+DRLIC,21857
+PNAME+DOB+PHONE+SSN,20628
+NAME+ADDRESS+PHONE+SSN+LOGIN_ID,19655
+NAME+ADDRESS+PHONE+LOGIN_ID,19005
+NAME+ADDRESS+PHONE+SSN+DRLIC+ACCT_NUM,18644
+NAME+ADDRESS+PHONE+DRLIC+ACCT_NUM,17979
+NAME+DOB+ADDRESS+PHONE+SSN+DRLIC,17922
+NAME+DOB+ADDRESS+PHONE+DRLIC,17795
+NAME+PHONE+SSN+LOGIN_ID,17743
+NAME+ADDRESS+SSN+PASSPORT,17475
+PNAME+ADDRESS+PHONE+SSN+DRLIC,17354
+NAME+PHONE+LOGIN_ID,17205
+NAME+ADDRESS+PASSPORT,16452
+NAME+PHONE+DRLIC+ACCT_NUM,16078
+PNAME+PHONE+SSN+DRLIC,16074
+NAME+SSN+PASSPORT,16036
+NAME+PHONE+SSN+DRLIC+ACCT_NUM,15944
+NAME+DOB+PHONE+SSN+DRLIC,15336
+NAME+DOB,15312
+PNAME+ADDRESS+ACCT_NUM,15075
+NAME+DOB+PHONE+DRLIC,14902
+PNAME+ADDRESS+SSN+ACCT_NUM,14532
+PNAME+SSN+ACCT_NUM,14448
+PNAME+DOB+ADDRESS+PHONE,14192
+NAME+ADDRESS+PHONE+PASSPORT+ACCT_NUM,14128
+NAME+ADDRESS+PHONE+SSN+PASSPORT+ACCT_NUM,14005
+NAME+DOB+ADDRESS+ACCT_NUM,13917
+NAME+DOB+ADDRESS+SSN+ACCT_NUM,13690
+NAME+DOB+ADDRESS+PHONE+SSN+PASSPORT,13685
+NAME+DOB+ADDRESS+PHONE+PASSPORT,13484
+PNAME+ADDRESS+PHONE+SSN+PASSPORT,13040
+NAME+DOB+ACCT_NUM,12886
+NAME+DRLIC,12469
+PNAME+DOB+ADDRESS+SSN,12388
+NAME+PHONE+SSN+PASSPORT+ACCT_NUM,12248
+NAME+DOB+SSN+ACCT_NUM,12193
+NAME+PHONE+PASSPORT+ACCT_NUM,11997
+PNAME+PHONE+SSN+PASSPORT,11653
+NAME+DOB+PHONE+SSN+PASSPORT,11400
+PNAME+ADDRESS+PHONE+PASSPORT,11314
+PNAME+DOB+SSN,11270
+NAME+PASSPORT,11047
+NAME+DOB+PHONE+PASSPORT,10950
+PNAME+ADDRESS+PHONE+DRLIC,10745
+NAME+ADDRESS+SSN+LOGIN_ID,10702
+NAME+ADDRESS+LOGIN_ID,10552
+PNAME+DOB+ADDRESS+PHONE+ACCT_NUM,10485
+PNAME+DOB+ADDRESS+PHONE+SSN+ACCT_NUM,10468
+NAME+LOGIN_ID,10159
+NAME+SSN+LOGIN_ID,9839
+NAME+ADDRESS+SSN+DRLIC+ACCT_NUM,9783
+PNAME+ADDRESS+SSN+DRLIC,9708
+NAME+ADDRESS+PHONE+SSN+DRLIC+PASSPORT,9696
+PNAME+DOB+PHONE+ACCT_NUM,9633
+NAME+ADDRESS+DRLIC+ACCT_NUM,9559
+NAME+ADDRESS+PHONE+DRLIC+PASSPORT,9384
+PNAME+DOB+PHONE+SSN+ACCT_NUM,9342
+NAME+DOB+ADDRESS+SSN+DRLIC,9285
+NAME+DOB+ADDRESS+DRLIC,9059
+PNAME+PHONE+DRLIC,8973
+NAME+SSN+DRLIC+ACCT_NUM,8936
+NAME+DRLIC+ACCT_NUM,8638
+NAME+ADDRESS+PHONE+LOGIN_ID+ACCT_NUM,8397
+NAME+PHONE+SSN+DRLIC+PASSPORT,8373
+NAME+DOB+SSN+DRLIC,8303
+PNAME+PHONE+PASSPORT,8232
+NAME+PHONE+DRLIC+PASSPORT,8185
+NAME+DOB+ADDRESS+PHONE+LOGIN_ID,8151
+NAME+DOB+DRLIC,8115
+PNAME+SSN+DRLIC,7950
+NAME+DOB+ADDRESS+PHONE+DRLIC+ACCT_NUM,7902
+NAME+ADDRESS+PHONE+SSN+LOGIN_ID+ACCT_NUM,7901
+NAME+DOB+ADDRESS+PHONE+SSN+DRLIC+ACCT_NUM,7825
+PNAME+ADDRESS+PHONE+SSN+LOGIN_ID,7784
+NAME+DOB+ADDRESS+PHONE+SSN+LOGIN_ID,7778
+PNAME+ADDRESS+PHONE+LOGIN_ID,7618
+NAME+ADDRESS+SSN+PASSPORT+ACCT_NUM,7443
+PNAME+ADDRESS+PHONE+SSN+DRLIC+ACCT_NUM,7436
+NAME+ADDRESS+PASSPORT+ACCT_NUM,7434
+PNAME+PHONE+SSN+LOGIN_ID,7418
+PNAME+PHONE+LOGIN_ID,7401
+PNAME+ADDRESS+PHONE+DRLIC+ACCT_NUM,7269
+NAME+PHONE+LOGIN_ID+ACCT_NUM,7262
+NAME+DOB+PHONE+LOGIN_ID,7115
+NAME+DOB+ADDRESS+SSN+PASSPORT,7104
+NAME+PHONE+SSN+LOGIN_ID+ACCT_NUM,7070
+PNAME+DOB+ADDRESS+PHONE+SSN+DRLIC,7037
+PNAME+ADDRESS+SSN+PASSPORT,6926
+PNAME+DOB+ADDRESS+PHONE+DRLIC,6863
+NAME+DOB+PHONE+SSN+LOGIN_ID,6775
+NAME+PASSPORT+ACCT_NUM,6695
+PNAME+PHONE+DRLIC+ACCT_NUM,6680
+NAME+SSN+PASSPORT+ACCT_NUM,6671
+PNAME+PHONE+SSN+DRLIC+ACCT_NUM,6642
+NAME+DOB+ADDRESS+PASSPORT,6599
+NAME+DOB+PHONE+DRLIC+ACCT_NUM,6577
+PNAME+SSN+PASSPORT,6454
+NAME+DOB+PHONE+SSN+DRLIC+ACCT_NUM,6387
+NAME+DOB+SSN+PASSPORT,6192
+PNAME+DOB+PHONE+DRLIC,6159
+NAME+DOB+ADDRESS+PHONE+PASSPORT+ACCT_NUM,6142
+PNAME+DOB+PHONE+SSN+DRLIC,6040
+PNAME+DOB+ADDRESS+ACCT_NUM,5883
+NAME+DOB+ADDRESS+PHONE+SSN+PASSPORT+ACCT_NUM,5845
+PNAME+DOB+ACCT_NUM,5791
+PNAME+ADDRESS+PHONE+SSN+PASSPORT+ACCT_NUM,5789
+PNAME+DOB+ADDRESS+SSN+ACCT_NUM,5753
+NAME+ADDRESS+PHONE+DRLIC+LOGIN_ID,5741
+PNAME+ADDRESS+PHONE+PASSPORT+ACCT_NUM,5536
+DOB+ADDRESS+PHONE+SSN,5529
+NAME+ADDRESS+PHONE+SSN+DRLIC+LOGIN_ID,5492
+PNAME+ADDRESS+DRLIC,5482
+NAME+DOB+PASSPORT,5449
+PNAME+DOB+ADDRESS+PHONE+SSN+PASSPORT,5390
+PNAME+DOB+SSN+ACCT_NUM,5367
+PNAME+PHONE+PASSPORT+ACCT_NUM,5119
+NAME+ADDRESS+SSN+DRLIC+PASSPORT,5114
+PNAME+PHONE+SSN+PASSPORT+ACCT_NUM,5110
+NAME+ADDRESS+DRLIC+PASSPORT,5015
