,21145399
+NAME+ADDRESS+PHONE+SSN,144527
+NAME+ADDRESS+PHONE,130314
+NAME+PHONE+SSN,127296
+NAME+PHONE,104880
+NAME+ADDRESS+SSN,77267
+NAME+SSN,66696
+NAME+ADDRESS+PHONE+SSN+ACCT_NUM,63545
+NAME+ADDRESS+PHONE+ACCT_NUM,62929
+NAME+ADDRESS,62909
+NAME+DOB+ADDRESS+PHONE+SSN,60617
+PNAME+ADDRESS+PHONE+SSN,57198
+NAME+PHONE+SSN+ACCT_NUM,57162
+NAME+PHONE+ACCT_NUM,57021
+NAME+DOB+ADDRESS+PHONE,53113
+NAME+DOB+PHONE+SSN,51931
+PNAME+PHONE+SSN,49542
+NAME+ADDRESS+PHONE+SSN+DRLIC,43230
+NAME+ADDRESS+PHONE+DRLIC,41952
+NAME+DOB+PHONE,40499
+NAME+PHONE+SSN+DRLIC,38726
+NAME+PHONE+DRLIC,37348
+NAME+ADDRESS+SSN+ACCT_NUM,34807
+NAME+ADDRESS+ACCT_NUM,34526
+NAME+ACCT_NUM,33506
+NAME+ADDRESS+PHONE+SSN+PASSPORT,32825
+NAME+SSN+ACCT_NUM,32571
+NAME+DOB+ADDRESS+SSN,31483
+NAME+ADDRESS+PHONE+PASSPORT,31127
+PNAME+ADDRESS+SSN,30290
+NAME+PHONE+SSN+PASSPORT,29084
+NAME+DOB+SSN,28240
+NAME+PHONE+PASSPORT,26896
+NAME+DOB+ADDRESS+PHONE+ACCT_NUM,26327
+NAME+DOB+ADDRESS+PHONE+SSN+ACCT_NUM,25813
+PNAME+ADDRESS+PHONE+SSN+ACCT_NUM,25603
+PNAME+ADDRESS+PHONE+ACCT_NUM,25351
+NAME+DOB+ADDRESS,25110
+PNAME+PHONE+ACCT_NUM,24974
+PNAME+PHONE+SSN+ACCT_NUM,24068
+NAME+ADDRESS+SSN+DRLIC,23565
+PNAME+DOB+ADDRESS+PHONE+SSN,23389
+NAME+DOB+PHONE+ACCT_NUM,23163
+NAME+DOB+PHONE+SSN+ACCT_NUM,22583
+NAME+ADDRESS+DRLIC,22520
+PNAME+SSN,22383
+NAME+SSN+DRLIC,21873
