timestamp,message
1676707853248,"2023-02-18 08:10:53,247 senzing-50170001I Using governor-postgresql-transaction-id Governor. Version: 1.0.9 Updated: 2023-02-09"
1676707853248,"2023-02-18 08:10:53,248 senzing-50170002I SENZING_GOVERNOR_POSTGRESQL_HIGH_WATERMARK: 1500000000; SENZING_GOVERNOR_INTERVAL: 100000; SENZING_GOVERNOR_POSTGRESQL_LOW_WATERMARK 1200000000; SENZING_GOVERNOR_HINT: sz_sqs_consumer; SENZING_GOVERNOR_LOG_INTERVAL_IN_SECONDS: 600"
1676707853248,"2023-02-18 08:10:53,248 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-core-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676707853398,"2023-02-18 08:10:53,398 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-res-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676707853423,"2023-02-18 08:10:53,423 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-libfeat-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676707878669,2023-02-18 08:11:18.669 [sz_sqs_consumer:140369746339584] ERR: Lock refresh took more than 3 seconds. Cycling back.
1676708303633,DeadLetter: https://queue.amazonaws.com/511635769224/Ron-perf-35-sqs-dead-letter
1676708303634,Threads: 20
1676708303634,Prefetch: 20
1676708303634,"{ ""workload"": { ""loadedRecords"": 41868909,  ""addedRecords"": 2850,  ""deletedRecords"": 0,  ""reevaluations"": 0,  ""repairedEntities"": 0,  ""duration"": 2903589,  ""retries"": 2,  ""candidates"": 37079,  ""actualAmbiguousTest"": 270,  ""cachedAmbiguousTest"": 8,  ""libFeatCacheHit"": 210407,  ""libFeatCacheMiss"": 127558,  ""resFeatStatCacheHit"": 1796895,  ""resFeatStatCacheMiss"": 180841,  ""resFeatStatUpdate"": 56204,  ""unresolveTest"": 533,  ""abortedUnresolve"": 0,  ""gnrScorersUsed"": 1,  ""unresolveTriggers"": { ""normalResolve"" : 10,  ""update"" : 0,  ""relLink"" : 0,  ""extensiveResolve"" : 0,  ""ambiguousNoResolve"" : 523,  ""ambiguousMultiResolve"" : 0  }, ""reresolveTriggers"": { ""abortRetry"" : 0,  ""unresolveMovement"" : 26,  ""multipleResolvableCandidates"" : 2,  ""resolveNewFeatures"" : 1036,  ""newFeatureFTypes"": [  { ""ACCT_NUM"": 418 } ,  { ""ADDRESS"": 1000 } ,  { ""ADDR_KEY"": 919 } ,  { ""DOB"": 307 } ,  { ""DRLIC"": 608 } ,  { ""GENDER"": 428 } ,  { ""ID_KEY"": 913 } ,  { ""LOGIN_ID"": 137 } ,  { ""NAME"": 837 } ,  { ""NAME_KEY"": 986 } ,  { ""PASSPORT"": 421 } ,  { ""PHONE"": 614 } ,  { ""PHONE_KEY"": 425 } ,  { ""SEARCH_KEY"": 594 } ,  { ""SSN"": 544 } ]  }, ""reresolveSkipped"" : 0,  ""filteredObsFeat"" : 1694,  ""expressedFeatureCalls"": [  { ""EFCALL_ID"": 1,""EFUNC_CODE"": ""PHONE_HASHER"", ""numCalls"":1656 } ,  { ""EFCALL_ID"": 2,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":1734 } ,  { ""EFCALL_ID"": 3,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":1166 } ,  { ""EFCALL_ID"": 5,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":1076 } ,  { ""EFCALL_ID"": 7,""EFUNC_CODE"": ""NAME_HASHER"", ""numCalls"":2850 } ,  { ""EFCALL_ID"": 9,""EFUNC_CODE"": ""ADDR_HASHER"", ""numCalls"":2850 } ,  { ""EFCALL_ID"": 10,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":1007 } ,  { ""EFCALL_ID"": 14,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":1706 } ,  { ""EFCALL_ID"": 16,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2015 } ],  ""expressedFeaturesCreated"": [  { ""ADDR_KEY"": 5171 } ,  { ""ID_KEY"": 6621 } ,  { ""NAME_KEY"": 20713 } ,  { ""PHONE_KEY"": 1656 } ,  { ""SEARCH_KEY"": 2083 } ],  ""scoredPairs"": [  { ""ACCT_NUM"": 23871 } ,  { ""ADDRESS"": 104118 } ,  { ""DOB"": 18279 } ,  { ""DRLIC"": 28332 } ,  { ""GENDER"": 44207 } ,  { ""LOGIN_ID"": 6393 } ,  { ""NAME"": 68260 } ,  { ""PASSPORT"": 13964 } ,  { ""PHONE"": 43822 } ,  { ""SSN"": 35413 } ],  ""cacheHit"": [  { ""ADDRESS"": 46472 } ,  { ""DOB"": 8349 } ,  { ""DRLIC"": 12272 } ,  { ""NAME"": 29265 } ,  { ""PASSPORT"": 6523 } ,  { ""PHONE"": 20631 } ],  ""cacheMiss"": [  { ""ADDRESS"": 57646 } ,  { ""DOB"": 9930 } ,  { ""DRLIC"": 16060 } ,  { ""NAME"": 38995 } ,  { ""PASSPORT"": 7441 } ,  { ""PHONE"": 23191 } ],  ""redoTriggers"": [  { ""ADDR_KEY"": 30 } ,  { ""DRLIC"": 5 } ,  { ""ID_KEY"": 30 } ,  { ""LOGIN_ID"": 788 } ,  { ""SEARCH_KEY"": 250 } ],  ""latchContention"": [ ],  ""highContentionFeat"": [ ],  ""highContentionResEnt"": [ ],  ""genericDetect"": [  { ""ADDR_KEY"": 3 } ,  { ""DRLIC"": 1 } ,  { ""ID_KEY"": 7 } ,  { ""LOGIN_ID"": 202 } ,  { ""NAME_KEY"": 29 } ,  { ""SEARCH_KEY"": 26 } ],  ""candidateBuilders"": [  { ""ACCT_NUM"": 5644 } ,  { ""ADDR_KEY"": 7694 } ,  { ""DRLIC"": 5454 } ,  { ""ID_KEY"": 7652 } ,  { ""LOGIN_ID"": 2455 } ,  { ""NAME_KEY"": 7769 } ,  { ""PASSPORT"": 4372 } ,  { ""PHONE"": 6757 } ,  { ""PHONE_KEY"": 5562 } ,  { ""SEARCH_KEY"": 6034 } ,  { ""SSN"": 6391 } ],  ""suppressedCandidateBuilders"": [ ],  ""suppressedScoredFeatureType"": [ ],  ""reducedScoredFeatureType"": [ ],  ""suppressedDisclosedRelationshipDomainCount"":  0 ,  ""CorruptEntityTestDiagnosis"": { },  ""threadState"": { ""active"": 20,""idle"": 1,""sqlExecuting"": 20,""loader"": 7,""resolver"": 14,""scoring"": 12,""dataLatchContention"": 0,""obsEntContention"": 0,""resEntContention"": 0},  ""systemResources"": {  ""initResources"": [ { ""physicalCores"": 4 },{ ""logicalCores"": 4 },{ ""totalMemory"": ""30.8GB"" },{ ""availableMemory"": ""29.8GB"" }],  ""currResources"": [ { ""availableMemory"": ""26.0GB"" },{ ""activeThreads"": 20 },{ ""workerThreads"": 21 }, {  ""systemLoad"": [ ] } ] } } }"
